in s,C1 in V
-5.91492E-05,-1.02539E-04
-5.91480E-05,-3.07617E-04
-5.91468E-05,-1.02539E-04
-5.91456E-05,-1.61133E-04
-5.91444E-05,-1.41602E-04
-5.91432E-05,-1.02539E-04
-5.91420E-05,-1.51367E-04
-5.91408E-05,-2.09961E-04
-5.91396E-05,-2.78320E-04
-5.91384E-05,-6.34766E-05
-5.91372E-05,-1.80664E-04
-5.91360E-05,-1.70898E-04
-5.91348E-05,-1.41602E-04
-5.91336E-05,-2.97852E-04
-5.91324E-05,-7.32422E-05
-5.91312E-05,-1.41602E-04
-5.91300E-05,-4.39453E-05
-5.91288E-05,-2.19727E-04
-5.91276E-05,-1.51367E-04
-5.91264E-05,-2.39258E-04
-5.91252E-05,-1.80664E-04
-5.91240E-05,-1.31836E-04
-5.91228E-05,-6.34766E-05
-5.91216E-05,-1.41602E-04
-5.91204E-05,-9.27734E-05
-5.91192E-05,-1.46484E-05
-5.91180E-05,-1.22070E-04
-5.91168E-05,-1.51367E-04
-5.91156E-05,-4.39453E-05
-5.91144E-05,-1.41602E-04
-5.91132E-05,-3.41797E-05
-5.91120E-05,-9.27734E-05
-5.91108E-05,-1.22070E-04
-5.91096E-05,-2.00195E-04
-5.91084E-05,-2.44141E-05
-5.91072E-05,-1.51367E-04
-5.91060E-05,-1.70898E-04
-5.91048E-05,-1.80664E-04
-5.91036E-05,4.39453E-05
-5.91024E-05,-1.46484E-05
-5.91012E-05,-2.00195E-04
-5.91000E-05,-1.61133E-04
-5.90988E-05,-1.31836E-04
-5.90976E-05,-1.41602E-04
-5.90964E-05,-1.51367E-04
-5.90952E-05,-4.39453E-05
-5.90940E-05,-3.41797E-05
-5.90928E-05,-1.70898E-04
-5.90916E-05,6.34766E-05
-5.90904E-05,-5.37109E-05
-5.90892E-05,-1.51367E-04
-5.90880E-05,-1.22070E-04
-5.90868E-05,-1.51367E-04
-5.90856E-05,-2.58789E-04
-5.90844E-05,-1.51367E-04
-5.90832E-05,-1.80664E-04
-5.90820E-05,-2.00195E-04
-5.90808E-05,-1.02539E-04
-5.90796E-05,-4.39453E-05
-5.90784E-05,-1.41602E-04
-5.90772E-05,-1.80664E-04
-5.90760E-05,-2.00195E-04
-5.90748E-05,-6.34766E-05
-5.90736E-05,-1.80664E-04
-5.90724E-05,-6.34766E-05
-5.90712E-05,-1.31836E-04
-5.90700E-05,-1.51367E-04
